Vertex: node:53213, PageRank: 7.573152717631948E-4
Vertex: node:128641, PageRank: 2.290379789679709E-4
Vertex: node:95822, PageRank: 2.2884760929083473E-4
Vertex: node:75314, PageRank: 2.2871988192501696E-4
Vertex: node:78671, PageRank: 2.2841903467178893E-4
Vertex: node:35020, PageRank: 2.2739374441629057E-4
Vertex: node:18904, PageRank: 2.271630726390286E-4
Vertex: node:23453, PageRank: 2.27152692328893E-4
Vertex: node:51358, PageRank: 2.2705822652639102E-4
Vertex: node:132492, PageRank: 2.2652308162532934E-4
Vertex: node:67580, PageRank: 2.263980715194609E-4
Vertex: node:99431, PageRank: 2.2618750093045557E-4
Vertex: node:68673, PageRank: 2.2561556233129823E-4
Vertex: node:48863, PageRank: 2.2558489716206792E-4
Vertex: node:24075, PageRank: 2.2534925478469628E-4
Vertex: node:14186, PageRank: 2.2480792630582546E-4
Vertex: node:51825, PageRank: 2.2468490280682692E-4
Vertex: node:119664, PageRank: 2.2449944733146323E-4
Vertex: node:44785, PageRank: 2.242027600004615E-4
Vertex: node:10341, PageRank: 2.2416121587602724E-4
Vertex: node:66157, PageRank: 2.240486142856565E-4
Vertex: node:461, PageRank: 2.2390001614183396E-4
Vertex: node:43961, PageRank: 2.2376447178677625E-4
Vertex: node:49934, PageRank: 2.2374225565946793E-4
Vertex: node:111046, PageRank: 2.2336954990113307E-4
Vertex: node:16665, PageRank: 2.2317640905125097E-4
Vertex: node:96726, PageRank: 2.2293340488337368E-4
Vertex: node:68148, PageRank: 2.2255471501143377E-4
Vertex: node:65713, PageRank: 2.2244072810209616E-4
Vertex: node:67716, PageRank: 2.2226912587948282E-4
Vertex: node:43227, PageRank: 2.2215163164838444E-4
Vertex: node:76706, PageRank: 2.2166480136245347E-4
Vertex: node:7520, PageRank: 2.2158942192417218E-4
Vertex: node:9769, PageRank: 2.2114693234204138E-4
Vertex: node:70854, PageRank: 2.2077122253249471E-4
Vertex: node:17837, PageRank: 2.2060362165476493E-4
Vertex: node:51587, PageRank: 2.2031079805995662E-4
Vertex: node:120678, PageRank: 2.202980066177962E-4
Vertex: node:43277, PageRank: 2.202322730882479E-4
Vertex: node:93798, PageRank: 2.2006744019270765E-4
Vertex: node:104589, PageRank: 2.2004948845060098E-4
Vertex: node:117953, PageRank: 2.1979814997986766E-4
Vertex: node:42143, PageRank: 2.1967811428715435E-4
Vertex: node:67374, PageRank: 2.1918068166751025E-4
Vertex: node:45732, PageRank: 2.1829333977380755E-4
Vertex: node:100958, PageRank: 2.1759179131454636E-4
Vertex: node:49525, PageRank: 2.169372147241443E-4
Vertex: node:90535, PageRank: 2.1679916441103822E-4
Vertex: node:55837, PageRank: 2.1666850971551257E-4
Vertex: node:115209, PageRank: 2.1655659525592955E-4
Vertex: node:107877, PageRank: 2.162512662566226E-4
Vertex: node:98698, PageRank: 2.162454800948632E-4
Vertex: node:83351, PageRank: 2.1619688885391456E-4
Vertex: node:107534, PageRank: 2.160928063416094E-4
Vertex: node:88283, PageRank: 2.1599305972797093E-4
Vertex: node:108054, PageRank: 2.1554796752771174E-4
Vertex: node:127456, PageRank: 2.15361480100606E-4
Vertex: node:1155, PageRank: 2.1474503115245455E-4
Vertex: node:99717, PageRank: 2.145941703587737E-4
Vertex: node:98571, PageRank: 2.1410873771066327E-4
Vertex: node:2839, PageRank: 2.1402930419061697E-4
Vertex: node:41665, PageRank: 2.1390684621844756E-4
Vertex: node:128297, PageRank: 2.1345290506731842E-4
Vertex: node:94138, PageRank: 2.1344898265292833E-4
Vertex: node:55999, PageRank: 2.1338022792813892E-4
Vertex: node:80276, PageRank: 2.1295217592272396E-4
Vertex: node:39521, PageRank: 2.1278706832796162E-4
Vertex: node:125733, PageRank: 2.1237992151753771E-4
Vertex: node:19325, PageRank: 2.1194155543989514E-4
Vertex: node:125267, PageRank: 2.1169516206256289E-4
Vertex: node:3420, PageRank: 2.1139322647263195E-4
Vertex: node:77816, PageRank: 2.1131069737756488E-4
Vertex: node:55799, PageRank: 2.1101956154001927E-4
Vertex: node:60975, PageRank: 2.1094243662718342E-4
Vertex: node:48423, PageRank: 2.108756559206845E-4
Vertex: node:65449, PageRank: 2.105911008728179E-4
Vertex: node:46342, PageRank: 2.1052785627259264E-4
Vertex: node:37378, PageRank: 2.1038800190870488E-4
Vertex: node:77959, PageRank: 2.1037251318172567E-4
Vertex: node:94597, PageRank: 2.099440867580977E-4
Vertex: node:60308, PageRank: 2.0970243492572695E-4
Vertex: node:30912, PageRank: 2.0947058596082892E-4
Vertex: node:86872, PageRank: 2.090944844107775E-4
Vertex: node:89458, PageRank: 2.08819060242105E-4
Vertex: node:73589, PageRank: 2.087776362139981E-4
Vertex: node:57091, PageRank: 2.0844388139843042E-4
Vertex: node:49486, PageRank: 2.083472072634485E-4
Vertex: node:111223, PageRank: 2.083203224660086E-4
Vertex: node:8273, PageRank: 2.0816307242774805E-4
Vertex: node:23626, PageRank: 2.0771171005058342E-4
Vertex: node:11851, PageRank: 2.0704797965621975E-4
Vertex: node:36781, PageRank: 2.0702501188617185E-4
Vertex: node:75539, PageRank: 2.0696071129053324E-4
Vertex: node:93096, PageRank: 2.0682203742056635E-4
Vertex: node:16877, PageRank: 2.0662980868465204E-4
Vertex: node:77415, PageRank: 2.0658362014992798E-4
Vertex: node:46229, PageRank: 2.065038059910423E-4
Vertex: node:15826, PageRank: 2.0598779656307817E-4
Vertex: node:14646, PageRank: 2.059280479055239E-4
Vertex: node:128204, PageRank: 2.0591979602129843E-4
Vertex: node:88847, PageRank: 2.0559987442008668E-4
Vertex: node:69643, PageRank: 2.055849125372192E-4
Vertex: node:115480, PageRank: 2.055572881568061E-4
Vertex: node:81790, PageRank: 2.054441572457818E-4
Vertex: node:63552, PageRank: 2.052795973760818E-4
Vertex: node:69090, PageRank: 2.0526268224284498E-4
Vertex: node:117676, PageRank: 2.0485333540357854E-4
Vertex: node:75664, PageRank: 2.0475319665020085E-4
Vertex: node:116865, PageRank: 2.047009289580629E-4
Vertex: node:20598, PageRank: 2.0453645502047283E-4
Vertex: node:104841, PageRank: 2.0434986539537113E-4
Vertex: node:103115, PageRank: 2.042064474019346E-4
Vertex: node:102116, PageRank: 2.0403783191728873E-4
Vertex: node:108248, PageRank: 2.0394203414709878E-4
Vertex: node:68577, PageRank: 2.0325924203475214E-4
Vertex: node:113663, PageRank: 2.0323875998043908E-4
Vertex: node:122272, PageRank: 2.0320903784436974E-4
Vertex: node:34066, PageRank: 2.0258104130613678E-4
Vertex: node:104802, PageRank: 2.0248437835059744E-4
Vertex: node:66502, PageRank: 2.0232204451919235E-4
Vertex: node:132173, PageRank: 2.022179920777243E-4
Vertex: node:119135, PageRank: 2.0219425421643647E-4
Vertex: node:78764, PageRank: 2.0212176394808037E-4
Vertex: node:79860, PageRank: 2.0201799501037837E-4
Vertex: node:11633, PageRank: 2.0196691898884068E-4
Vertex: node:39298, PageRank: 2.019631555236047E-4
Vertex: node:6288, PageRank: 2.0194815408121241E-4
Vertex: node:33302, PageRank: 2.0193185204664624E-4
Vertex: node:70413, PageRank: 2.018871678205076E-4
Vertex: node:7072, PageRank: 2.0187465582665538E-4
Vertex: node:125993, PageRank: 2.018224532405526E-4
Vertex: node:11152, PageRank: 2.0121793851718355E-4
Vertex: node:111709, PageRank: 2.011210831784613E-4
Vertex: node:75607, PageRank: 2.010919786032246E-4
Vertex: node:2478, PageRank: 2.0092797892464173E-4
Vertex: node:128685, PageRank: 2.0078053010655255E-4
Vertex: node:103407, PageRank: 2.0063873954862278E-4
Vertex: node:77019, PageRank: 1.9989151831092055E-4
Vertex: node:91752, PageRank: 1.998159088649951E-4
Vertex: node:132921, PageRank: 1.997190693199093E-4
Vertex: node:49458, PageRank: 1.997139950002208E-4
Vertex: node:89242, PageRank: 1.9963696148109623E-4
Vertex: node:48951, PageRank: 1.9947616463598326E-4
Vertex: node:9863, PageRank: 1.9909883244734094E-4
Vertex: node:4074, PageRank: 1.9882459535736416E-4
Vertex: node:18642, PageRank: 1.98787948950904E-4
Vertex: node:1677, PageRank: 1.98681712859946E-4
Vertex: node:126394, PageRank: 1.9863700572800264E-4
Vertex: node:132663, PageRank: 1.9837598368584438E-4
Vertex: node:98315, PageRank: 1.9816009559765397E-4
Vertex: node:126451, PageRank: 1.9811544124958858E-4
Vertex: node:20296, PageRank: 1.9810744683054402E-4
Vertex: node:8775, PageRank: 1.9786815270245303E-4
Vertex: node:26503, PageRank: 1.9785039904235717E-4
Vertex: node:14859, PageRank: 1.9776119917050796E-4
Vertex: node:118896, PageRank: 1.9768420870144968E-4
Vertex: node:97320, PageRank: 1.9762448207187304E-4
Vertex: node:14956, PageRank: 1.9762276279511223E-4
Vertex: node:73941, PageRank: 1.9757069860923453E-4
Vertex: node:76749, PageRank: 1.9754521905995893E-4
Vertex: node:94915, PageRank: 1.9734373903190433E-4
Vertex: node:9103, PageRank: 1.973139941073871E-4
Vertex: node:6593, PageRank: 1.9723866990142228E-4
Vertex: node:8053, PageRank: 1.971106970371178E-4
Vertex: node:99086, PageRank: 1.968143432304642E-4
Vertex: node:101361, PageRank: 1.9665480092507511E-4
Vertex: node:44434, PageRank: 1.9654584300461914E-4
Vertex: node:24637, PageRank: 1.9650077120833022E-4
Vertex: node:28002, PageRank: 1.9629581008507823E-4
Vertex: node:24751, PageRank: 1.958879610368153E-4
Vertex: node:131091, PageRank: 1.958779453332706E-4
Vertex: node:100352, PageRank: 1.9547459647922328E-4
Vertex: node:105274, PageRank: 1.954018189793736E-4
Vertex: node:71947, PageRank: 1.9538146712619057E-4
Vertex: node:123951, PageRank: 1.9527922510330928E-4
Vertex: node:97654, PageRank: 1.9497088660627888E-4
Vertex: node:24895, PageRank: 1.9467483967130556E-4
Vertex: node:97541, PageRank: 1.94626914668243E-4
Vertex: node:102855, PageRank: 1.9454155305026976E-4
Vertex: node:67827, PageRank: 1.944793533140371E-4
Vertex: node:41473, PageRank: 1.9434817303539393E-4
Vertex: node:54526, PageRank: 1.943334925339568E-4
Vertex: node:15973, PageRank: 1.942027859403356E-4
Vertex: node:69839, PageRank: 1.941538027836252E-4
Vertex: node:26141, PageRank: 1.941475348497606E-4
Vertex: node:7205, PageRank: 1.9398386057925275E-4
Vertex: node:6256, PageRank: 1.935752037807008E-4
Vertex: node:81251, PageRank: 1.9344732795412758E-4
Vertex: node:62940, PageRank: 1.9330776720134034E-4
Vertex: node:101744, PageRank: 1.9322955303629133E-4
Vertex: node:92914, PageRank: 1.9317119136154842E-4
Vertex: node:4024, PageRank: 1.9302133721973608E-4
Vertex: node:57250, PageRank: 1.929799504957337E-4
Vertex: node:105314, PageRank: 1.92724385358959E-4
Vertex: node:73205, PageRank: 1.923298467652977E-4
Vertex: node:10564, PageRank: 1.9212201667243408E-4
Vertex: node:124109, PageRank: 1.9188903864655424E-4
Vertex: node:11776, PageRank: 1.9183752300095286E-4
Vertex: node:73842, PageRank: 1.9176722580040016E-4
Vertex: node:59915, PageRank: 1.9171022174277106E-4
Vertex: node:2094, PageRank: 1.9164855590325671E-4
Vertex: node:24583, PageRank: 1.909461647651655E-4
Vertex: node:123909, PageRank: 1.9088817659931512E-4
Vertex: node:95357, PageRank: 1.9073565859968234E-4
Vertex: node:88481, PageRank: 1.9073387695491386E-4
Vertex: node:78169, PageRank: 1.9066598675582472E-4
Vertex: node:43088, PageRank: 1.905934059094564E-4
Vertex: node:84879, PageRank: 1.9047537235021922E-4
Vertex: node:87294, PageRank: 1.9043464591327915E-4
Vertex: node:5638, PageRank: 1.903854794614346E-4
Vertex: node:8583, PageRank: 1.9029799427098976E-4
Vertex: node:48703, PageRank: 1.9026112639314625E-4
Vertex: node:53034, PageRank: 1.8999488847081908E-4
Vertex: node:14207, PageRank: 1.8990001765685797E-4
Vertex: node:27901, PageRank: 1.898985953318956E-4
Vertex: node:107236, PageRank: 1.896696077587732E-4
Vertex: node:2736, PageRank: 1.896583823569763E-4
Vertex: node:113481, PageRank: 1.895419948932778E-4
Vertex: node:10426, PageRank: 1.8935019073450688E-4
Vertex: node:70950, PageRank: 1.8896754879242248E-4
Vertex: node:18164, PageRank: 1.88583287312306E-4
Vertex: node:69226, PageRank: 1.884301462360907E-4
Vertex: node:58484, PageRank: 1.879796797533774E-4
Vertex: node:126916, PageRank: 1.8788801556261715E-4
Vertex: node:67032, PageRank: 1.8788515258676372E-4
Vertex: node:19869, PageRank: 1.8774639764033808E-4
Vertex: node:18855, PageRank: 1.8771867830271548E-4
Vertex: node:20842, PageRank: 1.877094610930728E-4
Vertex: node:118630, PageRank: 1.8759323339726872E-4
Vertex: node:28623, PageRank: 1.8755193269251862E-4
Vertex: node:106763, PageRank: 1.8755017916138243E-4
Vertex: node:59733, PageRank: 1.8754222593206734E-4
Vertex: node:88644, PageRank: 1.87428526985281E-4
Vertex: node:71982, PageRank: 1.871515908230082E-4
Vertex: node:72216, PageRank: 1.8703905581396064E-4
Vertex: node:36528, PageRank: 1.8702069192671737E-4
Vertex: node:88216, PageRank: 1.8700848388831978E-4
Vertex: node:101167, PageRank: 1.8694096615909868E-4
Vertex: node:79513, PageRank: 1.868441174336815E-4
Vertex: node:112695, PageRank: 1.8665647474810587E-4
Vertex: node:19383, PageRank: 1.8651586648983333E-4
Vertex: node:84456, PageRank: 1.8630393308804845E-4
Vertex: node:72402, PageRank: 1.862771506032065E-4
Vertex: node:229, PageRank: 1.8627395512403359E-4
Vertex: node:25588, PageRank: 1.8590357989465615E-4
Vertex: node:38413, PageRank: 1.858233003174366E-4
Vertex: node:130134, PageRank: 1.858206861455051E-4
Vertex: node:117734, PageRank: 1.8575260989054648E-4
Vertex: node:106611, PageRank: 1.85412747194362E-4
Vertex: node:8833, PageRank: 1.8534932551017086E-4
Vertex: node:61175, PageRank: 1.8524878508288181E-4
Vertex: node:125316, PageRank: 1.8523852878958268E-4
Vertex: node:52907, PageRank: 1.8480007199123385E-4
Vertex: node:10373, PageRank: 1.845403724360896E-4
Vertex: node:837, PageRank: 1.8451400132626501E-4
Vertex: node:42883, PageRank: 1.844022492729386E-4
Vertex: node:42092, PageRank: 1.8420456838047893E-4
Vertex: node:50096, PageRank: 1.8415101396007007E-4
Vertex: node:35411, PageRank: 1.8403142654274638E-4
Vertex: node:76071, PageRank: 1.84025131843467E-4
Vertex: node:90592, PageRank: 1.8392864117046346E-4
Vertex: node:121026, PageRank: 1.836049713095635E-4
Vertex: node:121205, PageRank: 1.832980112632762E-4
Vertex: node:2444, PageRank: 1.8319429784464727E-4
Vertex: node:60075, PageRank: 1.826904071307947E-4
Vertex: node:86304, PageRank: 1.8269009021091063E-4
